brand,brand_authored_messages,unique_inbound_customer_messages_linked,linked_customer_brand_pairs,brand_related_threads,reconstructible_multi_turn_threads,outbound_parent_link_completeness,outbound_orphan_parent_rate,median_outbound_word_count,substantive_reply_proxy_fraction,generic_or_redirect_reply_proxy_fraction,actionable_reply_proxy_fraction,public_containment_proxy_fraction,exact_normalized_duplicate_reply_rate,unique_normalized_reply_ratio,top_template_concentration,unique_normalized_customer_message_ratio
VMUcare,1381,1573,2038,727,384,0.9775525,0.00144823,16.0,0.84503983,0.15858074,0.11078928,0.69007965,0.04706734,0.95293266,0.03692976,0.98029243
Kimpton,1339,1470,1732,1054,332,0.95743092,0.00074683,18.0,0.94846901,0.00970874,0.03510082,0.93876027,0.0,1.0,0.00373413,0.99387755
SCsupport,1329,1512,1851,980,398,0.94055681,0.0,22.0,0.96237773,0.04815651,0.07674944,0.91422122,0.40933032,0.59066968,0.18284424,0.97156085
DunkinDonuts,1290,1483,1511,1258,226,0.99069767,0.0,15.0,0.9751938,0.5255814,0.02248062,0.4496124,0.58682171,0.41317829,0.34031008,0.99865138
TwitterSupport,1290,1398,1438,1219,430,0.98992248,0.00077519,23.0,1.0,0.00310078,0.00155039,0.99689922,0.96744186,0.03255814,0.82403101,0.86695279
USCellularCares,1177,1336,1944,541,319,0.99745115,0.00254885,19.0,0.96771453,0.04248088,0.16652506,0.92523364,0.0144435,0.9855565,0.01019541,0.97979042
NeweggService,1079,1183,1446,796,406,0.98795181,0.00092678,22.0,0.86561631,0.20759963,0.07692308,0.65801668,0.09823911,0.90176089,0.08804449,0.97295013
PandoraSupport,1043,1213,1388,724,263,0.97986577,0.0,18.0,0.93384468,0.15532119,0.14860978,0.77948226,0.18983701,0.81016299,0.15915628,0.98680956
AWSSupport,1035,1302,1403,904,416,0.99903382,0.0,22.0,0.99806763,0.09855072,0.15748792,0.89951691,0.00386473,0.99613527,0.00869565,0.99155146
AskRBC,1011,1283,1440,839,359,0.99802176,0.00197824,25.0,0.99604352,0.09693373,0.19188922,0.89910979,0.00197824,0.99802176,0.00692384,0.99064692
AskVirginMoney,914,977,1477,396,259,0.99124726,0.00218818,20.0,0.99781182,0.00437637,0.07330416,0.99343545,0.00875274,0.99124726,0.01203501,0.98055271
BoostCare,907,1047,1247,673,247,0.99669239,0.00110254,22.0,0.99338479,0.28776185,0.07276736,0.70562293,0.01764057,0.98235943,0.01764057,0.99140401
YahooCare,906,1124,1459,538,339,0.96578366,0.00110375,21.5,0.9790287,0.22847682,0.1214128,0.75165563,0.06843267,0.93156733,0.03090508,0.97953737
OPPOCareIN,879,972,1287,451,292,0.98748578,0.00113766,25.0,0.98634812,0.11831627,0.05802048,0.86803185,0.04778157,0.95221843,0.02844141,0.97839506
PearsonSupport,841,914,1134,604,229,0.97978597,0.00475624,22.0,0.99167658,0.32580262,0.35790725,0.66706302,0.26397146,0.73602854,0.14625446,0.98796499
HiltonHelp,833,948,1057,716,236,0.99519808,0.00120048,21.0,0.9939976,0.65306122,0.02641056,0.34093637,0.28211285,0.71788715,0.12364946,0.97257384
GooglePlayMusic,804,1049,1289,545,303,0.99875622,0.0,24.0,0.98383085,0.01119403,0.18034826,0.97263682,0.0659204,0.9340796,0.02487562,0.98951382
MTNC_Care,784,972,1159,529,282,0.9872449,0.00127551,16.0,0.91454082,0.03443878,0.01403061,0.88010204,0.01020408,0.98979592,0.01530612,0.99176955
AskTigogh,715,770,1092,322,201,0.9986014,0.0,15.0,0.85314685,0.02937063,0.16363636,0.82377622,0.05594406,0.94405594,0.04195804,0.96753247
asksalesforce,710,813,1010,486,242,0.99577465,0.0,19.0,0.97042254,0.14647887,0.18873239,0.82394366,0.0056338,0.9943662,0.01267606,0.99507995
askvisa,709,648,873,473,225,1.0,0.0,22.0,0.98307475,0.20310296,0.02397743,0.77997179,0.02820874,0.97179126,0.02115656,0.99228395
AskSeagate,639,663,938,346,187,0.99843505,0.00156495,26.0,0.98748044,0.10172144,0.28169014,0.885759,0.02816901,0.97183099,0.02190923,1.0
MOO,630,684,818,478,183,0.97777778,0.0,14.0,0.74761905,0.1,0.04761905,0.64920635,0.04761905,0.95238095,0.03968254,0.99122807
ask_progressive,612,708,762,543,151,0.99836601,0.00163399,26.0,0.99346405,0.28104575,0.08333333,0.7124183,0.03431373,0.96568627,0.02941176,0.99858757
KeyBank_Help,555,632,802,374,187,0.99459459,0.0036036,24.0,0.98918919,0.14054054,0.11891892,0.84864865,0.0,1.0,0.00900901,0.99050633
